id,time,x,y
2005,2019-01-01T01:01:14Z,34640.7159218457,-1437396.0140688627
2005,2019-01-01T11:00:59Z,34659.72260501501,-1437208.6261761563
2005,2019-01-01T12:01:15Z,34656.29050052267,-1437223.422924375
2005,2019-01-01T13:01:28Z,34669.02952166437,-1437218.5571142677
2005,2019-01-01T14:01:12Z,34662.96475091011,-1437221.1487586377
2005,2019-01-01T17:00:36Z,32259.326731159068,-1436858.0320808678
2005,2019-01-01T18:03:04Z,32604.86097442035,-1436824.3272193454
2005,2019-01-01T19:02:19Z,32822.36411420061,-1437028.5250147553
2005,2019-01-01T20:01:09Z,32823.807315860635,-1437018.7898131423
2005,2019-01-01T02:00:35Z,34617.59101540636,-1437423.4229397876
2005,2019-01-01T21:01:11Z,32830.738127354896,-1437020.5665252088
2005,2019-01-01T22:01:06Z,32822.79805740547,-1437023.3012727755
2005,2019-01-01T23:00:32Z,32327.377902550226,-1436815.5223587777
2005,2019-01-02T00:01:31Z,32157.2855376907,-1436983.698995798
2005,2019-01-01T03:01:00Z,34643.23753025048,-1437385.920762291
2005,2019-01-01T04:00:35Z,34561.33454294057,-1437365.7891921937
2005,2019-01-01T05:00:38Z,34603.260300174836,-1437416.977816325
2005,2019-01-01T06:00:57Z,34639.37492563659,-1437390.9101724667
2005,2019-01-01T07:00:37Z,34672.433552815295,-1437335.5405533167
2005,2019-01-01T08:00:34Z,34455.56478146693,-1437080.5597656136
2005,2019-01-01T09:00:34Z,34622.40578155441,-1437124.3170086595
2005,2018-10-01T00:02:40Z,42526.24855088712,-1437160.6258060397
2005,2018-10-01T10:03:31Z,41498.43867643976,-1436517.6305410098
2005,2018-10-01T11:03:14Z,41223.25767497775,-1436345.2053966008
2005,2018-10-01T12:02:42Z,41223.38393616841,-1436355.0462025679
2005,2018-10-01T13:03:13Z,41224.54855134513,-1436358.9767895248
2005,2018-10-01T14:02:50Z,41224.24869261439,-1436355.3083115744
2005,2018-10-01T15:02:32Z,41223.84476225075,-1436353.0614227448
2005,2018-10-01T16:02:52Z,41221.167835287546,-1436357.7141723123
2005,2018-10-01T17:03:32Z,41224.495450143644,-1436354.4175341034
2005,2018-10-01T18:02:49Z,41226.61782986468,-1436357.1773234569
2005,2018-10-01T19:03:02Z,41225.88523021682,-1436357.2541519245
2005,2018-10-01T01:03:04Z,43010.304076033266,-1437273.4549951863
2005,2018-10-01T20:02:45Z,41214.51121932081,-1436361.0235414512
2005,2018-10-01T21:03:01Z,41409.88395547498,-1436201.7625902707
2005,2018-10-01T22:02:38Z,41575.44832067408,-1435944.2909737532
2005,2018-10-01T23:02:58Z,42050.734468917435,-1435724.979069583
2005,2018-10-01T02:02:32Z,43008.17723951052,-1437275.8971749363
2005,2018-10-01T03:03:36Z,43005.18942680809,-1437276.880997141
2005,2018-10-01T04:02:46Z,42876.30273944632,-1437193.0801211772
2005,2018-10-01T05:03:03Z,42895.39357776029,-1437180.3421538607
2005,2018-10-01T06:02:58Z,42790.3538811771,-1437084.61963294
2005,2018-10-01T07:02:35Z,42661.29487027122,-1437005.3673306205
2005,2018-10-01T08:02:34Z,42660.92342215452,-1437007.0927422037
2005,2018-10-01T09:03:03Z,42190.77253889273,-1436699.1926779216
2005,2019-10-01T10:55:08Z,42371.7377194787,-1438131.9302776067
2005,2019-10-01T12:55:03Z,42370.94942270382,-1438132.1084284964
2005,2019-10-01T13:55:05Z,42376.3938133768,-1438129.552187769
2005,2019-10-01T14:56:15Z,42371.52273019723,-1438133.3062905164
2005,2019-10-01T15:55:09Z,41921.126513911346,-1438088.9973767446
2005,2019-10-01T16:56:55Z,40344.49718042503,-1437484.8345972365
2005,2019-10-01T17:54:55Z,40226.61544429563,-1436996.8899513436
2005,2019-10-01T18:55:25Z,40046.944777894285,-1437059.9615668536
2005,2019-10-01T19:54:50Z,40040.13060887471,-1437044.9334832216
2005,2019-10-01T20:55:03Z,38085.7557404607,-1437550.0591632405
2005,2019-10-01T21:56:05Z,35930.112256402426,-1437633.5295036868
2005,2019-10-01T22:55:25Z,34543.327965686,-1437486.00265807
2005,2019-10-01T23:55:33Z,34427.99481595663,-1437425.1991339838
2005,2019-10-01T02:55:51Z,42887.721738773136,-1437178.219628564
2005,2019-10-01T04:55:11Z,42695.934331603596,-1437252.5716983834
2005,2019-10-01T05:55:05Z,42695.538125976076,-1437273.255008177
2005,2019-10-01T06:55:17Z,42670.89315619069,-1437280.8756072351
2005,2019-10-01T07:55:28Z,42525.71657623793,-1437611.5627293992
2005,2019-10-01T08:55:02Z,42367.708518175095,-1438128.826176789
2005,2019-10-01T09:55:09Z,42371.820410369066,-1438133.9278233182
2005,2018-11-01T01:03:01Z,48332.99065005009,-1433470.011295322
2005,2018-11-01T11:02:10Z,48411.350041833786,-1433156.2666586947
2005,2018-11-01T12:02:38Z,48410.136154824686,-1433179.828193556
2005,2018-11-01T13:02:03Z,48326.08061772965,-1432949.7246411731
2005,2018-11-01T14:03:21Z,48326.09604538563,-1432954.8825652462
2005,2018-11-01T15:02:02Z,48325.073358267866,-1432955.3304767718
2005,2018-11-01T16:02:03Z,48326.017066785425,-1432952.0494131262
2005,2018-11-01T17:02:02Z,48325.70183249647,-1432953.3349670083
2005,2018-11-01T18:02:31Z,48335.880369683844,-1432946.7902815016
2005,2018-11-01T19:02:11Z,48322.83000827636,-1432949.29578374
2005,2018-11-01T20:02:02Z,48327.30383328276,-1432949.0629833573
2005,2018-11-01T02:03:31Z,48727.2071263259,-1433687.4553927374
2005,2018-11-01T21:02:07Z,48228.2110059351,-1433009.5534730935
2005,2018-11-01T22:02:35Z,47729.95395114688,-1432974.0369728797
2005,2018-11-01T23:02:32Z,47875.28765018652,-1433291.0139156252
2005,2018-11-01T03:02:50Z,48911.75929160913,-1433683.519217257
2005,2018-11-01T05:02:22Z,48593.92718542623,-1433272.010092918
